Vehicle ID,Time Spent (s),Timestamp
24,350.65,2025-04-05 04:36:20
3,10.13,2025-04-05 04:58:13
3,10.13,2025-04-05 04:58:13
2,10.13,2025-04-05 04:58:13
2,10.13,2025-04-05 04:58:13
3,12.05,2025-04-05 04:58:15
3,12.05,2025-04-05 04:58:15
2,12.05,2025-04-05 04:58:15
2,12.05,2025-04-05 04:58:15
3,13.14,2025-04-05 04:58:16
3,13.14,2025-04-05 04:58:16
2,13.14,2025-04-05 04:58:16
2,13.14,2025-04-05 04:58:16
3,14.56,2025-04-05 04:58:17
3,14.56,2025-04-05 04:58:17
2,14.56,2025-04-05 04:58:17
2,14.56,2025-04-05 04:58:17
3,15.85,2025-04-05 04:58:19
3,15.85,2025-04-05 04:58:19
2,15.85,2025-04-05 04:58:19
2,15.85,2025-04-05 04:58:19
3,21.61,2025-04-05 04:58:24
3,21.61,2025-04-05 04:58:24
2,21.61,2025-04-05 04:58:24
2,21.61,2025-04-05 04:58:24
6,17.86,2025-04-05 04:58:26
6,17.86,2025-04-05 04:58:26
3,23.19,2025-04-05 04:58:26
3,23.19,2025-04-05 04:58:26
2,23.19,2025-04-05 04:58:26
2,23.19,2025-04-05 04:58:26
6,19.47,2025-04-05 04:58:28
6,19.47,2025-04-05 04:58:28
3,24.80,2025-04-05 04:58:28
3,24.80,2025-04-05 04:58:28
2,24.80,2025-04-05 04:58:28
2,24.80,2025-04-05 04:58:28
6,20.89,2025-04-05 04:58:29
6,20.89,2025-04-05 04:58:29
3,26.23,2025-04-05 04:58:29
3,26.23,2025-04-05 04:58:29
2,26.23,2025-04-05 04:58:29
2,26.23,2025-04-05 04:58:29
6,22.55,2025-04-05 04:58:31
6,22.55,2025-04-05 04:58:31
3,27.88,2025-04-05 04:58:31
3,27.88,2025-04-05 04:58:31
2,27.88,2025-04-05 04:58:31
2,27.88,2025-04-05 04:58:31
6,24.08,2025-04-05 04:58:32
6,24.08,2025-04-05 04:58:32
3,29.42,2025-04-05 04:58:32
3,29.42,2025-04-05 04:58:32
2,29.42,2025-04-05 04:58:32
2,29.42,2025-04-05 04:58:32
6,25.55,2025-04-05 04:58:34
6,25.55,2025-04-05 04:58:34
3,30.89,2025-04-05 04:58:34
3,30.89,2025-04-05 04:58:34
2,30.89,2025-04-05 04:58:34
2,30.89,2025-04-05 04:58:34
6,27.02,2025-04-05 04:58:35
6,27.02,2025-04-05 04:58:35
3,32.36,2025-04-05 04:58:35
3,32.36,2025-04-05 04:58:35
2,32.36,2025-04-05 04:58:35
2,32.36,2025-04-05 04:58:35
6,28.48,2025-04-05 04:58:37
6,28.48,2025-04-05 04:58:37
3,33.81,2025-04-05 04:58:37
3,33.81,2025-04-05 04:58:37
2,33.81,2025-04-05 04:58:37
2,33.81,2025-04-05 04:58:37
6,30.03,2025-04-05 04:58:38
6,30.03,2025-04-05 04:58:38
3,35.37,2025-04-05 04:58:38
3,35.37,2025-04-05 04:58:38
2,35.37,2025-04-05 04:58:38
2,35.37,2025-04-05 04:58:38
6,32.59,2025-04-05 04:58:41
6,32.59,2025-04-05 04:58:41
2,37.93,2025-04-05 04:58:41
2,37.93,2025-04-05 04:58:41
6,33.71,2025-04-05 04:58:42
6,33.71,2025-04-05 04:58:42
2,39.05,2025-04-05 04:58:42
2,39.05,2025-04-05 04:58:42
6,34.84,2025-04-05 04:58:43
6,34.84,2025-04-05 04:58:43
2,40.18,2025-04-05 04:58:43
2,40.18,2025-04-05 04:58:43
6,35.96,2025-04-05 04:58:44
6,35.96,2025-04-05 04:58:44
2,41.29,2025-04-05 04:58:44
2,41.29,2025-04-05 04:58:44
6,37.07,2025-04-05 04:58:45
6,37.07,2025-04-05 04:58:45
2,42.41,2025-04-05 04:58:45
2,42.41,2025-04-05 04:58:45
6,38.17,2025-04-05 04:58:46
6,38.17,2025-04-05 04:58:46
2,43.50,2025-04-05 04:58:46
2,43.50,2025-04-05 04:58:46
6,39.25,2025-04-05 04:58:47
6,39.25,2025-04-05 04:58:47
2,44.59,2025-04-05 04:58:47
2,44.59,2025-04-05 04:58:47
6,40.37,2025-04-05 04:58:48
6,40.37,2025-04-05 04:58:48
2,45.71,2025-04-05 04:58:48
2,45.71,2025-04-05 04:58:48
6,41.44,2025-04-05 04:58:50
6,41.44,2025-04-05 04:58:50
2,46.77,2025-04-05 04:58:50
2,46.77,2025-04-05 04:58:50
6,42.53,2025-04-05 04:58:51
6,42.53,2025-04-05 04:58:51
2,47.87,2025-04-05 04:58:51
2,47.87,2025-04-05 04:58:51
6,43.68,2025-04-05 04:58:52
6,43.68,2025-04-05 04:58:52
2,49.01,2025-04-05 04:58:52
2,49.01,2025-04-05 04:58:52
6,44.75,2025-04-05 04:58:53
6,44.75,2025-04-05 04:58:53
2,50.09,2025-04-05 04:58:53
2,50.09,2025-04-05 04:58:53
10,11.04,2025-04-05 04:58:54
10,11.04,2025-04-05 04:58:54
6,45.89,2025-04-05 04:58:54
6,45.89,2025-04-05 04:58:54
2,51.22,2025-04-05 04:58:54
2,51.22,2025-04-05 04:58:54
10,12.51,2025-04-05 04:58:55
10,12.51,2025-04-05 04:58:55
6,47.35,2025-04-05 04:58:55
6,47.35,2025-04-05 04:58:55
2,52.69,2025-04-05 04:58:55
2,52.69,2025-04-05 04:58:55
10,14.10,2025-04-05 04:58:57
10,14.10,2025-04-05 04:58:57
6,48.94,2025-04-05 04:58:57
6,48.94,2025-04-05 04:58:57
2,54.28,2025-04-05 04:58:57
2,54.28,2025-04-05 04:58:57
10,15.63,2025-04-05 04:58:59
10,15.63,2025-04-05 04:58:59
6,50.47,2025-04-05 04:58:59
6,50.47,2025-04-05 04:58:59
2,55.81,2025-04-05 04:58:59
2,55.81,2025-04-05 04:58:59
10,17.25,2025-04-05 04:59:00
10,17.25,2025-04-05 04:59:00
6,52.09,2025-04-05 04:59:00
6,52.09,2025-04-05 04:59:00
2,57.43,2025-04-05 04:59:00
2,57.43,2025-04-05 04:59:00
10,18.72,2025-04-05 04:59:02
10,18.72,2025-04-05 04:59:02
6,53.56,2025-04-05 04:59:02
6,53.56,2025-04-05 04:59:02
2,58.90,2025-04-05 04:59:02
2,58.90,2025-04-05 04:59:02
12,10.45,2025-04-05 04:59:03
12,10.45,2025-04-05 04:59:03
10,20.36,2025-04-05 04:59:03
